timestamp; size;
126.213999986649; 2329111; video
277.585999965668; 205978; photo
775.421000003815; 35968; photo
805.262000083923; 45641; photo
1195.10400009155; 27656397; video
1231.44799995422; 2357782; video
1511.08800005913; 2898569; video
1763.13800001144; 10887013; video
2373.0490000248; 1128943; video
2441.06399989128; 7115845; video
2652.5759999752; 58688; photo
2805.76799988747; 52045; photo
2806.37400007248; 616426; video
2994.32399988174; 77969; photo
3024.38700008392; 48992; photo
3495.8029999733; 190940; photo
3496.4319999218; 182844; photo
3497.17499995232; 1727097; video
3523.34400010109; 2046128; video
4340.13899993896; 82442; photo
4481.86999988556; 236248; photo
4515.97799992561; 3518060; video
4697.86500000954; 61127; photo
5041.69600009918; 999888; video
5133.99900007248; 185263; photo
5760.76600003242; 214875; photo
5774.55200004578; 16034891; video
6314.6930000782; 46073; photo
6378.06900000572; 194292; photo
6388.11100006104; 11387509; video
7030.27399992943; 1473625; video
7159.17499995232; 4674621; video
7468.28200006485; 1745108; video
7506.18099999428; 9574733; video
7527.08299994469; 228773; photo
7712.95700001717; 52856; photo
8119.34699988365; 4043809; video
8333.83999991417; 239557; photo
8363.70300006866; 111374; photo
8771.00099992752; 1214819; video
9516.65799999237; 425980; photo
9516.79800009727; 390324; photo
9517.4319999218; 430761; photo
9518.11400008202; 314434; photo
9518.71600008011; 370475; photo
9518.78800010681; 353555; photo
9518.92300009727; 419733; photo
9519.06200003624; 393167; photo
9519.18499994278; 377142; photo
9578.68099999428; 159031; photo
9945.39100003242; 253767; photo
9976.05100011826; 219452; photo
10009.0179998875; 3790628; video
10188.3050000668; 66726; photo
10357.5710000992; 113775; photo
11001.5889999866; 236572; photo
12960.2630000114; 71753; photo
12993.239000082; 2314279; video
13642.628000021; 2737946; video
14014.114000082; 13934; video
14301.7660000324; 47457; photo
14301.9389998913; 136313; photo
