timestamp; size;
300.746819019318; 205978; photo
300.78581905365; 2329111; video
781.00781917572; 35968; photo
810.834819078445; 45641; photo
1200.84381914139; 27656397; video
1236.87281918526; 2357782; video
1516.40181922913; 2898569; video
1768.6398191452; 10887013; video
2379.0528190136; 1128943; video
2446.92681908607; 7115845; video
2657.98981904984; 58688; photo
2811.47781920433; 52045; photo
2811.88281917572; 616426; video
2999.94181919098; 77969; photo
3029.97081899643; 48992; photo
3501.38781905174; 190940; photo
3501.48381900787; 182844; photo
3502.73481917381; 1727097; video
3529.03781914711; 2046128; video
4345.77381920815; 82442; photo
